fleenID,ekg_chest_cm_imputed
18064,20.32
17697,12.7
17557,20.32
18430,26.67
17893,22.86
18192,29.21
17726,24.13
17672,12.7
18367,12.7
17577,27.94
17600,24.13
17782,24.13
17418,20.32
17503,20.32
17887,24.13
17951,22.86
18097,22.86
17808,20.32
17546,20.32
18069,22.86
17958,20.32
18235,26.67
18274,17.78
18102,20.32
17481,20.32
17732,22.86
17533,20.32
17855,23.78910703
17491,19.05
17446,20.32
17990,20.32
17541,22.86
17692,21.59
17626,12.7
17695,16.51
17599,20.32
17594,22.86
18141,20.32
17711,22.86
18193,30.48
18175,30.48
17837,15.24
17640,30.48
17998,22.86
17708,22.86
1.80E+04,19.05
17562,19.05
17586,20.32
17824,25.4
18009,22.86
17406,22.86
18095,22.86
17477,30.48
17639,20.32
17407,20.32
18289,22.86
17996,27.94
18306,19.05
18080,20.32
18230,25.4
18397,20.32
17592,19.05
18010,20.32
17551,27.19934352
17467,25.4
17638,27.305
17879,27.94
18003,25.4
17504,25.4
18293,20.32
17731,19.05
17512,21.59
18239,27.94
17529,22.86
18094,20.32
18005,22.86
17760,23.57559853
18037,22.86
18194,22.86
17517,20.32
17943,19.05
18252,27.94
18124,27.94
17929,30.48
17891,25.4
17689,23.41983437
17870,27.94
17516,25.4
18051,22.79928058
18033,33.02
17687,27.94
17397,25.4
18137,22.86
17678,22.86
18284,22.86
18006,33.02
17411,25.4
17886,27.94
17831,30.48
18347,30.48
17976,24.13
18391,26.67
17696,25.4
17835,27.94
17989,27.94
18379,25.4
17942,30.48
18133,27.94
18351,27.94
17885,40.64
18112,30.48
18410,27.94
17635,30.48
17524,24.13
17702,22.86
17787,25.4
17478,25.4
17554,22.86
17436,30.48
18387,27.94
17570,27.94
90001,27.94
90002,27.94
90004,22.86
90007,25.4
90012,27.94
90014,22.86
90015,20.32
90016,22.86
3718,30.48
4135,15.24
7312,27.94
3751,20.32
5833,30.48
7276,30.48
7084,30.48
4294,20.32
7432,27.94
7480,20.32
8173,22.86
5341,25.4
7150,30.48
4228,30.48
7054,33.02
3856,30.48
6607,30.48
4285,27.94
3682,30.48
4378,23.495
5305,33.02
5539,22.86
8452,27.94
6826,27.94
7474,21.59
5947,20.32
4165,30.48
3952,17.78
5161,20.32
8446,20.32
7258,27.94
6862,22.86
3649,27.94
6874,30.48
5686,22.86
6598,25.4
4.00E+03,25.4
4372,25.4
5449,20.32
6712,27.94
5440,33.02
3700,25.4
5896,20.32
6994,22.86
4384,27.94
5689,27.94
7309,20.32
5146,25.4
5890,27.94
6652,19.05
5779,27.94
3808,27.94
4132,20.32
3622,25.4
6778,27.94
3598,33.02
7213,20.32
7141,20.32
7336,27.94
3781,27.94
5386,33.02
5374,25.4
5101,25.4
4060,22.86
4273,21.59
5935,25.4
7282,30.48
5272,25.4
3778,22.86
7234,33.02
7093,22.86
7408,25.4
7435,25.4
5683,25.4
6841,25.4
5572,25.4
5545,22.86
5923,22.86
7183,25.4
8320,30.48
4324,22.86